spacecraft,headline,launching_location,time_for_next_space_flight
Roscosmos,Soyuz 2.1a | Soyuz MS-23,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Feb 24, 2023 00:24 UTC"
CASC,Long March 2C | Unknown Payload,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Fri Feb 24, 2023 04:10 UTC"
SpaceX,Falcon 9 Block 5 | Starlink Group 6-1,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Feb 26, 2023 18:12 UTC"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-6,"LC-39A, Kennedy Space Center, Florida, USA","Mon Feb 27, 2023 06:45 UTC"
SpaceX,Falcon 9 Block 5 | Starlink Group 2-7,"SLC-4E, Vandenberg SFB, California, USA","Mon Feb 27, 2023 17:46 UTC"
MHI,H3-22 | ALOS-3,"LA-Y2, Tanegashima Space Center, Japan","NET February, 2023"
SpaceX,Falcon 9 Block 5 | OneWeb #17,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Mar 01, 2023 19:44 UTC"
Relativity,"Terran 1 | Good Luck, Have Fun","SLC-16, Cape Canaveral SFS, Florida, USA","Wed Mar 08, 2023 18:00 UTC"
SpaceX,Falcon 9 Block 5 | SES-18 & SES-19,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Mar 09, 2023 00:35 UTC"
SpaceX,Falcon 9 Block 5 | CRS SpX-27,"LC-39A, Kennedy Space Center, Florida, USA","Sat Mar 11, 2023 01:59 UTC"
VKS RF,Proton-M/Briz-M | Olymp-K 2,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Sun Mar 12, 2023 22:12 UTC"
SpaceX,Falcon 9 Block 5 | WorldView Legion 1 & 2,"SLC-40, Cape Canaveral SFS, Florida, USA","NET March, 2023"
ULA,Delta IV Heavy | NROL-68,"SLC-37B, Cape Canaveral SFS, Florida, USA","NET March, 2023"
ISRO,GSLV Mk II | NVS-01 (IRNSS-1J),"Second Launch Pad, Satish Dhawan Space Centre, India","NET March, 2023"
Arianespace,Vega C | THEOS-2 & SSMS n°05,"ELV-1, Guiana Space Centre, French Guiana, France","NET March, 2023"
VKS RF,Soyuz 2.1b/Fregat-M | Glonass-K2 n°13L,"Plesetsk Cosmodrome, Russia","NET March, 2023"
ULA,Vulcan VC2 | Peregrine Mission One & KuiperSat,"SLC-41, Cape Canaveral SFS, Florida, USA","NET March, 2023"
SpaceX,Falcon 9 Block 5 | O3b mPOWER 3 & 4,"SLC-40 or LC-39A, Florida, USA","NET March, 2023"
VKS RF,Soyuz 2.1b/Fregat-M | Glonass-K2 n°14L,"Plesetsk Cosmodrome, Russia","NET March, 2023"
VKS RF,Soyuz 2.1a/Fregat-M | Meridian-M n°21L,"Site 43/3, Plesetsk Cosmodrome, Russia","NET March, 2023"
VKS RF,Soyuz 2.1a/Fregat-M | Meridian-M n°22L,"Site 43/3, Plesetsk Cosmodrome, Russia","NET March, 2023"
VKS RF,Soyuz 2.1a/Volga | Razdan 1,"Plesetsk Cosmodrome, Russia","NET March, 2023"
VKS RF,Angara A5/Persey | Tundra n°7L,"Site 35/1, Plesetsk Cosmodrome, Russia","NET March, 2023"
Roscosmos,"Soyuz 2.1b/Fregat-M | Ionosfera-M n°1, 2 & Others","Site 1S, Vostochny Cosmodrome, Russia","NET March, 2023"
SpaceX,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 1)","SLC-4E, Vandenberg SFB, California, USA","NET March, 2023"
SpaceX,Starship-Super Heavy (Prototype) | Orbital Test Flight,"Orbital Launch Pad A, Starbase, Texas, USA","NET March, 2023"
Firefly,Firefly Alpha | VCLS Demo-2FB (ELaNa 43),"SLC-2W, Vandenberg SFB, California, USA","NET March, 2023"
Relativity,Terran 1 | VCLS Demo-2R,"SLC-16, Cape Canaveral SFS, Florida, USA","NET March, 2023"
SpaceX,Falcon 9 Block 5 | Nusantara Lima,"SLC-40 or LC-39A, Florida, USA","NET March, 2023"
ISRO,GSLV Mk III | OneWeb #18,"Second Launch Pad, Satish Dhawan Space Centre, India","NET March, 2023"
SpaceX,Falcon 9 Block 5 | Starlink Group 2-2,"SLC-40, Cape Canaveral SFS, Florida, USA","NET March, 2023"
SpaceX,Falcon 9 Block 5 | Intelsat 40e/TEMPO,"SLC-40 or LC-39A, Florida, USA","NET Apr 07, 2023"
SpaceX,Falcon Heavy | ViaSat-3 Americas & Arcturus,"LC-39A, Kennedy Space Center, Florida, USA","Sat Apr 08, 2023 22:25 UTC"
Arianespace,Ariane 5 ECA | JUICE (Jupiter Icy Moons Explorer),"ELA-3, Guiana Space Centre, French Guiana, France","Thu Apr 13, 2023 12:15 UTC"
Northrop,Antares 230+ | CRS NG-19,"LP-0A, Wallops Flight Facility, Virginia, USA","NET Apr 21, 2023"
SpaceX,Falcon 9 Block 5 | SARah 2 & 3,"SLC-4E, Vandenberg SFB, California, USA","NET April, 2023"
ULA,Atlas V N22 | Starliner CFT,"SLC-41, Cape Canaveral SFS, Florida, USA","NET April, 2023"
MHI,H3-30 | ALOS-4,"LA-Y2, Tanegashima Space Center, Japan","NET April, 2023"
JAXA,H-IIA 202 | SLIM & XRISM,"LA-Y1, Tanegashima Space Center, Japan","NET April, 2023"
SpaceX,Falcon 9 Block 5 | Transporter 7,"SLC-4E, Vandenberg SFB, California, USA","NET April, 2023"
SpaceX,Falcon 9 Block 5 | Türksat 6A,"SLC-40 or LC-39A, Florida, USA","NET April, 2023"
MHI,H-IIA 202 | IGS-Optical 8,"LA-Y1, Tanegashima Space Center, Japan","NET April, 2023"
SpaceX,Falcon 9 Block 5 | Galaxy 37,"SLC-40 or LC-39A, Florida, USA","NET April, 2023"
SpaceX,Falcon 9 Block 5 | O3b mPOWER 5 & 6,"SLC-40 or LC-39A, Florida, USA","NET April, 2023"
SpaceX,Falcon 9 Block 5 | WorldView Legion 3 & 4,"SLC-40 or LC-39A, Florida, USA","NET April, 2023"
SpaceX,Falcon 9 Block 5 | WorldView Legion 5 & 6,"SLC-40 or LC-39A, Florida, USA","NET April, 2023"
ISRO,SSLV | XPoSat,"First Launch Pad, Satish Dhawan Space Centre, India","NET April, 2023"
CASC,Long March 4C | Fengyun-3G,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","NET April, 2023"
Rocket Lab,Electron/Curie | TROPICS Flight 2,"Rocket Lab LC-2 (LP-0C), Wallops Flight Facility, Virginia, USA","NET May 01, 2023"
CASC,Long March 7 | Tianzhou 6,"LC-201, Wenchang Satellite Launch Center, China","NET May 10, 2023"
Roscosmos,Soyuz 2.1a | Progress MS-23,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET May 24, 2023"
CASC,Long March 2F/G | Shenzhou 16,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","NET May 25, 2023"
Rocket Lab,Electron/Photon | NZSA Venus Mission,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","NET May, 2023"
SpaceX,Falcon 9 Block 5 | Axiom Mission 2 (AX-2),"LC-39A, Kennedy Space Center, Florida, USA","NET May, 2023"
SpaceX,Falcon Heavy | EchoStar 24 (Jupiter 3),"LC-39A, Kennedy Space Center, Florida, USA","NET May, 2023"
Rocket Lab,Electron/Curie | TROPICS Flight 3,"Rocket Lab LC-2 (LP-0C), Wallops Flight Facility, Virginia, USA","NET May, 2023"
CAS Space,Zhongke-1A | Second Flight,"Jiuquan Satellite Launch Center, China","NET May, 2023"
Firefly,Firefly Alpha | VICTUS NOX (TacRS-3),"SLC-2W, Vandenberg SFB, California, USA","NET May, 2023"
SpaceX,Falcon 9 Block 5 | Arabsat 7B (Badr 8),"SLC-40 or LC-39A, Florida, USA","NET May, 2023"
KARI,KSLV-2 | SNIPE,"LC-2, Naro Space Center, South Korea","NET May, 2023"
SpaceX,Falcon 9 Block 5 | CRS SpX-28,"LC-39A, Kennedy Space Center, Florida, USA","NET Jun 05, 2023"
SpaceX,Falcon 9 Block 5 | Transporter 8,"SLC-4E, Vandenberg SFB, California, USA","NET Jun 10, 2023"
SpaceX,Falcon Heavy | USSF-52,"LC-39A, Kennedy Space Center, Florida, USA","NET June, 2023"
SpaceX,Falcon 9 Block 5 | Nova C (IM-1),"LC-39A, Kennedy Space Center, Florida, USA","NET June, 2023"
ISRO,GSLV Mk III | Chandrayaan-3,"Second Launch Pad, Satish Dhawan Space Centre, India","NET June, 2023"
Roscosmos,Soyuz 2.1b/Fregat-M | Meteor-M n°2-3,"Site 1S, Vostochny Cosmodrome, Russia","NET June, 2023"
Roscosmos,Soyuz 2.1a/Fregat-M | Obzor-R n°1 & Others,"Plesetsk Cosmodrome, Russia","NET June, 2023"
Virgin Orbit,LauncherOne | STP-S28B,"Cosmic Girl, Mojave Air and Space Port, California, USA","NET June, 2023"
CASC,Long March 2C/E | SVOM,"LC-3, Xichang Satellite Launch Center, China","NET June, 2023"
Rocket Lab,Electron/Curie | Kinéis 1-5,"Māhia Peninsula, New Zealand","NET June, 2023"
Rocket Lab,Electron/Curie | Kinéis 6-10,"Māhia Peninsula, New Zealand","NET June, 2023"
Northrop,Minotaur IV | NROL-174,"SLC-8, Vandenberg SFB, California, USA","NET June, 2023"
SpaceX,Falcon 9 Block 5 | O3b mPOWER 7 & 8,"SLC-40 or LC-39A, Florida, USA","NET June, 2023"
ULA,Atlas V 551 | USSF-51,"SLC-41, Cape Canaveral SFS, Florida, USA","NET June, 2023"
Roscosmos,Soyuz 2.1a/Fregat-M | AIST-2T n°01 & 02,"Site 1S, Vostochny Cosmodrome, Russia","NET June, 2023"
Roscosmos,Soyuz 2.1b/Fregat-M | TELNET n°31 to 60,"Site 1S, Vostochny Cosmodrome, Russia","NET June, 2023"
SpaceX,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 2)","SLC-4E, Vandenberg SFB, California, USA","NET June, 2023"
Arianespace,Ariane 5 ECA | Syracuse 4B & Heinrich Hertz,"ELA-3, Guiana Space Centre, French Guiana, France","NET June, 2023"
Rocket Lab,Electron/Curie | ACS3,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","NET June, 2023"
SpaceX,Falcon 9 Block 5 | Astranis,"SLC-40 or LC-39A, Florida, USA","NET June, 2023"
Rocket Lab,Electron | HawkEye 360 Flight 2,"Māhia Peninsula, New Zealand","NET June, 2023"
Rocket Lab,Electron | HawkEye 360 Flight 3,"Māhia Peninsula, New Zealand","NET June, 2023"
SpaceX,Falcon 9 Block 5 | Iridium-9 & OneWeb,"SLC-4E, Vandenberg SFB, California, USA","NET June, 2023"
ISRO,SSLV | BlackSky Global 5 & 6,"First Launch Pad, Satish Dhawan Space Centre, India","NET June, 2023"
Roscosmos,Soyuz 2.1b | Soyuz GVK Demo Flight,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET Jul 28, 2023"
ULA,Vulcan VC4 | CRS SNC-1,"SLC-41, Cape Canaveral SFS, Florida, USA","NET July, 2023"
Arianespace,Vega C | Space Rider F1,"ELV-1, Guiana Space Centre, French Guiana, France","NET July, 2023"
ISRO,GSLV Mk III | GSAT-20,"Second Launch Pad, Satish Dhawan Space Centre, India","NET July, 2023"
ISRO,PSLV-XL | Aditya L1,"Second Launch Pad, Satish Dhawan Space Centre, India","NET July, 2023"
Arianespace,Vega | NAOS (LUXEOSys),"ELV-1, Guiana Space Centre, French Guiana, France","NET July, 2023"
Roscosmos,Soyuz 2.1b/Fregat-M | Luna 25 & Others,"Site 1S, Vostochny Cosmodrome, Russia","NET July, 2023"
ISRO,GSLV Mk II | EOS-05,"Second Launch Pad, Satish Dhawan Space Centre, India","NET July, 2023"
ISRO,PSLV-XL | HRSAT,"Satish Dhawan Space Centre, India","NET July, 2023"
SpaceX,Falcon 9 Block 5 | Euclid Telescope,"SLC-40 or LC-39A, Florida, USA","NET July, 2023"
Arianespace,Vega | BIOMASS,"ELV-1, Guiana Space Centre, French Guiana, France","NET July, 2023"
ISRO,PSLV-XL | Cartosat-3B,"Satish Dhawan Space Centre, India","NET July, 2023"
Isar,Spectrum | Demo Flight,"Ingen Skyting 10, Andøya Rocket Range, Nordland, Norway","NET July, 2023"
RFA,RFA One | Lunar Research Service Payload,"Ingen Skyting 10, Andøya Rocket Range, Nordland, Norway","NET July, 2023"
ULA,Vulcan VC4 | USSF-87,"SLC-41, Cape Canaveral SFS, Florida, USA","NET July, 2023"
SpaceX,Falcon 9 Block 5 | USSF-36,"SLC-40 or LC-39A, Florida, USA","NET July, 2023"
SpaceX,Falcon 9 Block 5 | Thuraya 4-NGS,"SLC-40 or LC-39A, Florida, USA","NET July, 2023"
SpaceX,Falcon 9 Block 5 | Polaris Dawn,"LC-39A, Kennedy Space Center, Florida, USA","NET July, 2023"
SpaceX,Falcon 9 Block 5 | CRS NG-20,"SLC-40 or LC-39A, Florida, USA","NET July, 2023"
ULA,Vulcan VC4 | USSF-112,"SLC-41, Cape Canaveral SFS, Florida, USA","NET August, 2023"
Rocket Lab,Electron | LOXSAT 1,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","NET August, 2023"
SpaceX,Falcon 9 Block 5 | SpaceX Crew-7,"LC-39A, Kennedy Space Center, Florida, USA","NET August, 2023"
CASC,Long March 4C | Fengyun-3F,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","NET August, 2023"
Roscosmos,Soyuz 2.1a | Soyuz MS-24,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET Sep 15, 2023"
ULA,Atlas V 551 | ViaSat-3 EMEA,"SLC-41, Cape Canaveral SFS, Florida, USA","NET September, 2023"
Arianespace,Vega C | KOMPSAT-7,"ELV-1, Guiana Space Centre, French Guiana, France","NET September, 2023"
SpaceX,Falcon 9 Block 5 | Ovzon-3,"SLC-40 or LC-39A, Florida, USA","NET September, 2023"
SpaceX,Falcon Heavy | Psyche,"LC-39A, Kennedy Space Center, Florida, USA","NET Oct 10, 2023"
SpaceX,Falcon 9 Block 5 | CRS SpX-29,"LC-39A, Kennedy Space Center, Florida, USA","NET Oct 20, 2023"
ESA,Ariane 62 | ESA Rideshares - Demo Flight,"ELA-4, Guiana Space Centre, French Guiana, France","NET October, 2023"
ISRO,GSLV Mk III | GaganYaan Demo Flight,"Second Launch Pad, Satish Dhawan Space Centre, India","NET October, 2023"
SpaceX,Falcon 9 Block 5 | Arctic Satellite Broadband Mission (ASBM),"SLC-4E, Vandenberg SFB, California, USA","NET October, 2023"
Arianespace,Vega C | KOMPSAT-6,"ELV-1, Guiana Space Centre, French Guiana, France","NET October, 2023"
Roscosmos,Soyuz 2.1b/Fregat-M | Bion-M n°2,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET Oct 31, 2023"
ULA,Vulcan Centaur | USSF-106,"SLC-41, Cape Canaveral SFS, Florida, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | NROL-69,"SLC-40 or LC-39A, Florida, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | Axiom Mission 3 (AX-3),"LC-39A, Kennedy Space Center, Florida, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | Transporter 9,"SLC-4E, Vandenberg SFB, California, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | PRIME-1 (IM-2),"SLC-40 or LC-39A, Florida, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | USSF-124,"SLC-40 or LC-39A, Florida, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | USSF-62,"SLC-4E, Vandenberg SFB, California, USA","NET October, 2023"
SpaceX,Falcon 9 Block 5 | SDATranche 1,"SLC-4E, Vandenberg SFB, California, USA","NET October, 2023"
CASC,Long March 2F/G | Shenzhou 17,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","NET October, 2023"
ULA,Atlas V 551 | SILENTBARKER (NROL-107),"SLC-41, Cape Canaveral SFS, Florida, USA","NET November, 2023"
SpaceX,Falcon 9 Block 5 | Masten Mission One,"LC-39A, Kennedy Space Center, Florida, USA","NET November, 2023"
Roscosmos,Soyuz 2.1a | Progress MS-24,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET Dec 01, 2023"
Arianespace,Vega C | SSMS n°06,"ELV-1, Guiana Space Centre, French Guiana, France","NET December, 2023"
Arianespace,Vega C | SSMS n°07,"ELV-1, Guiana Space Centre, French Guiana, France","NET December, 2023"
Arianespace,Ariane 64 | Alina lander,"ELA-4, Guiana Space Centre, French Guiana, France","NET December, 2023"
Roscosmos,Soyuz 2.1b | Resurs-P No.4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET December, 2023"
Arianespace,Ariane 62 | Galileo FOC FM25-FM26,"ELA-4, Guiana Space Centre, French Guiana, France","NET December, 2023"
Arianespace,Vega C | SpaceBelt,"ELV-1, Guiana Space Centre, French Guiana, France","NET December, 2023"
CASC,Long March 3B/E | TCSTAR-1,"Xichang Satellite Launch Center, China","NET December, 2023"
CASC,Long March 5B | Xuntian Telescope,"LC-101, Wenchang Satellite Launch Center, China","NET December, 2023"
Roscosmos,Proton-M/Briz-M | Ekspress-AMU4,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","NET December, 2023"
Arianespace,Ariane 62 | Galileo FOC FM27-FM28,"ELA-4, Guiana Space Centre, French Guiana, France","NET December, 2023"
Arianespace,Ariane 62 | Galileo FOC FM29-FM30,"ELA-4, Guiana Space Centre, French Guiana, France","NET December, 2023"
Roscosmos,Soyuz 2.1b/Fregat-M | Arktika-M n°2,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","NET December, 2023"
ISRO,GSLV Mk II | NI-SAR,"Second Launch Pad, Satish Dhawan Space Centre, India","NET December, 2023"
Roscosmos,Soyuz 2.1a/Fregat-M | Kondor-FKA n°1,"Site 1S, Vostochny Cosmodrome, Russia","NET December, 2023"
Virgin Orbit,LauncherOne | STP-S28C,"Cosmic Girl, Mojave Air and Space Port, California, USA","NET December, 2023"
IHI Aerospace,Epsilon S | LOTUSat-1 (Demo Flight),"Mu Pad, Uchinoura Space Center, Japan","NET December, 2023"
Blue Origin,New Glenn | Demo Flight,"SLC-36A, Cape Canaveral SFS, Florida, USA","NET December, 2023"
SpaceX,Falcon 9 Block 5 | Satria,"SLC-40 or LC-39A, Florida, USA","NET December, 2023"
Roscosmos,Soyuz 2.1b/Fregat-M | TELNET n°01 to 30,"Site 1S, Vostochny Cosmodrome, Russia","NET December, 2023"
CNES,Callisto | Test flight,"ELD, Guiana Space Centre, French Guiana, France","NET December, 2023"
ESA,Thémis | Hop Test Flight,"Esrange, Kiruna, Sweden","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
ULA,Atlas V 551 | Project Kuiper,"SLC-41, Cape Canaveral SFS, Florida, USA","NET December, 2023"
Firefly,Firefly Alpha | Spaceflight Industries Rideshare,"SLC-2W, Vandenberg SFB, California, USA","NET December, 2023"
Firefly,Firefly Alpha | OTB-2,"SLC-2W, Vandenberg SFB, California, USA","NET December, 2023"
